Time   inert-X inert-Y inert-Z   optic-rX optic-rY optic-rZ   optic-X optic-Y optic-Z
23-57-21-157   1.034 1.897 -0.754  0.500 1.711 -0.034  0.597 1.584 0.072  0.687 -0.726 1.696
23-57-21-177   1.042 1.892 -0.756  0.500 1.711 -0.034  0.607 1.581 0.073  0.698 -0.724 1.696
23-57-21-179   1.049 1.888 -0.757  0.515 1.703 -0.036  0.617 1.578 0.073  0.709 -0.722 1.697
23-57-21-199   1.064 1.881 -0.758  0.530 1.695 -0.037  0.628 1.575 0.073  0.719 -0.719 1.697
23-57-21-220   1.078 1.873 -0.758  0.544 1.687 -0.038  0.638 1.571 0.073  0.730 -0.717 1.697
23-57-21-241   1.091 1.865 -0.759  0.557 1.679 -0.038  0.649 1.568 0.073  0.741 -0.715 1.696
23-57-21-241   1.091 1.865 -0.759  0.557 1.679 -0.038  0.660 1.564 0.073  0.753 -0.713 1.696
23-57-21-262   1.105 1.857 -0.759  0.571 1.671 -0.038  0.671 1.559 0.072  0.765 -0.711 1.696
23-57-21-283   1.120 1.850 -0.760  0.586 1.665 -0.039  0.683 1.555 0.072  0.777 -0.710 1.696
23-57-21-304   1.135 1.843 -0.760  0.601 1.658 -0.039  0.694 1.550 0.071  0.789 -0.709 1.695
